Ник,Имя,Страна,Команда,Дата рождения,Призовые за карьеру,Расса
GAMETIME,Stephen Ankawi,US,,,7660,Zerg
LunaSea,전우석,KR,Team Super,,54,Protoss
Lobo,Alvin Toh,SG,,,2273,Protoss
Avekatten,Andreas Lykholt-Svendsen,DK,,1994-10-19,649,Zerg
hOpe,Dan Gustafsson,SE,,,1965,Zerg
Grubby,Manuel Schenkhuizen,NL,Team Grubby,1986-05-11,61129,Protoss
CranK,최재원,KR,,1989-08-29,19355,Protoss
Zeal,Valentin Monfort-Schaeffer,US,,,3303,Protoss
BabyKnight,Jon Andersen,DK,,1992-06-15,24231,Protoss
printf,Dylan Ramsay,US,,,400,Protoss
ViBE,Dan Scherlong,US,ROOT Gaming,1987-05-09,32910,Zerg
Elroye,Eloi Quach,CH,,,925,Zerg
NoCti,Christopher Labbe,FR,,,0,Terran
jheffe,Christoper Hefferon,US,,,1791,Terran
Alicia,양준식,KR,,1987-08-01,81058,Protoss
Strelok,Євген Опаришев,UA,,1985-05-25,24610,Terran
Lemon,陸敬央,TW,,,5830,Terran
Sjaak,Wouter Honig,NL,,1998-08-23,1384,Protoss
Dragon,,CN,,,2824,Terran
WarreN,Dylan Warren,US,,,523,Zerg
Drager,Edwin Williams,ZA,Goliath Gaming,,7439,Protoss
sC,김승철,KR,,1995-02-14,24699,Terran
State,Ryan Visbeck,US,,1992-09-24,15923,Protoss
RosscO,,UK,,,131,Protoss
KwonYuRi,,KR,,,84,Protoss
Zinho,Matheus Saldanha,BR,Try Again,,577,Protoss
Albion,,JP,,,1940,Protoss
jookTo,조만혁,KR,,1992-03-26,6746,Zerg
Quantel,,ID,GdA-Team,,1519,Protoss
HasuObs,Dennis Schneider,DE,,1988-05-26,81445,Protoss
TheStC,최연식,KR,,1989-01-02,40525,Terran
FirstZerg,,CN,,,25,Zerg
Uzikoti,,FR,Alpha X,,1952,Terran
Senin,Marcin Kręcidło,PL,,1995-05-29,831,Zerg
MystiC,Thomas Morrish,UK,The Last Resort,,185,Terran
FireZerg,Sam Prowse,CA,Alpha X,1992-02-28,377,Zerg
DarkHydra,Christian Lüftner,DE,,,704,Terran
Rake,Tobias Unneland,NO,,,1051,Protoss
Railgan,Mike Monticoli,CH,ROOT Gaming,,283,Zerg
Crimson,Ben Macdonald,NZ,Mindfreak eSports,,5294,Zerg
FarmY,이준오,KR,ExcerituS Ignot,,65,Protoss
Alluton,Aleksi Saarainen,FI,Mkers,,679,Protoss
StarDuck,,AU,CranKy Ducklings,,1599,Protoss
CuKu,,RO,Team Rotti,,492,Terran
Mix,Kane Moore,UK,Team WardiTV,,1688,Zerg
Artist,조민호,KR,,1991-05-25,2278,Terran
YoGo,Pierre-Marie Humeau,FR,OGaming,1988-10-18,3701,Zerg
Yours,Cameron Foster,AU,Rise Esports,,5949,Zerg
CoolTea,Денис Марков,RU,,,1027,Protoss
BlinG,Samayan Kay,UK,,1991-11-07,26946,Protoss
roof,Marvin Gebhart,DE,,,2206,Zerg
Peppy,Jamie Austin,AU,OpusV,,2919,Zerg
Socke,Giacomo Thüs,DE,,1987-02-02,71166,Protoss
Sen,楊家正,TW,,1987-01-15,152401,Zerg
tavo,,PE,Team Super,,67,Terran
ART,,RU,,,191,Protoss
TomikuS,Pavel Tomášek,CZ,,,1997,Zerg
JazBas,조성준,NZ,Downfall Gaming,,6533,Zerg
Sniper,권태훈,KR,,1995-01-22,63980,Zerg
JEROS,Дмитрий Усанин,UA,Harbingers,,147,Terran
SlyCrab,Олексій Захарчук,UA,Hot Headed Gaming,2005-05-17,280,Protoss
ThuocLao,Lê Thanh Hà,VN,,,1271,Protoss
hOOdy,,CN,,,17,Terran
Seltic,,DE,Charge Gaming,,27,Zerg
Scythe,Stian Johnsen,NO,,1996-08-21,1515,Terran
Kyuubi,Ольга Русинова,RU,Harbingers,,1622,Zerg
FeaR,Richard Au,DE,Alien eSports,1999-12-20,1722,Protoss
