Ник,Имя,Страна,Команда,Дата рождения,Призовые за карьеру,Расса
ShaDoWn,Thomas Labrousse,FR,ROOT Gaming,,23342,Protoss
ArT,Tymoteusz Makaran,PL,Genesis Gaming,,10304,Protoss
MilkiCow,Илья Потапов,RU,Alien eSports,,4353,Terran
Snute,Jens W. Aasgaard,NO,Team Liquid,1990-07-28,379605,Zerg
DynaMite,엄지훈,KR,,,807,Terran
Polt,최성훈,KR,,1988-07-02,452370,Terran
BattleB,,DE,Alien eSports,,2582,Terran
Firefly,薛涛,CN,,,21042,Protoss
Trust,최성일,KR,,1995-04-12,34286,Protoss
Spatz,Marvin Tiele,DE,Berserker eSports,,2051,Protoss
VortiX,Juan Moreno Duran,ES,,1993-09-10,106480,Zerg
Erik,Erik Bermelho,BR,CranKy Ducklings,1996-11-20,22300,Zerg
Bbyong,정우용,KR,,1992-09-08,29656,Terran
TRUE,방태수,KR,,1992-04-15,180570,Zerg
Kas,Михайло Гайда,UA,Team STARCOM,1988-11-25,81403,Terran
Nina,Nina Qual,US,,1990-08-15,95073,Protoss
ForGG,박지수,KR,,1990-02-13,147810,Terran
Rail,Артём Авраменко,RU,GdA-Team,1993-12-15,30027,Protoss
BlueCheese,Radovan Viselka,SK,,1993-10-02,1571,Terran
RiSky,Joshua Hayward,UK,,,24140,Zerg
Bee,Павел Жигарев,RU,3D!Clan,,8352,Zerg
SouLeer,Víctor Rabadán Julià,ES,,,4132,Zerg
Super,서성민,KR,,1994-05-01,39671,Protoss
Nerchio,Artur Bloch,PL,,1992-08-09,376841,Zerg
Vindicta,Miguel Marmolejo,US,Alpha X,,17388,Terran
GogojOey,,HK,Juggernauts,,17442,Zerg
Happy,Дмитрий Костин,RU,,1991-06-17,65413,Terran
Starbuck,Matic Dejak,SI,Team Missing in Action,1997-01-30,15341,Zerg
PiLiPiLi,Павел Пилипенко,US,Genesis Gaming,1996-05-11,31591,Protoss
Epic,Alex Damain,US,PSISTORM Gaming,,9885,Terran
viOLet,김동환,KR,,1990-12-05,176184,Zerg
NaNiwa,Johan Lucchesi,SE,,1990-03-14,176795,Protoss
Ryu,Eduard Condori,PE,CranKy Ducklings,,10578,Zerg
kaozfate,,PE,,,1332,Terran
Zanster,Anton Dahlström,SE,PSISTORM Gaming,1996-11-21,63973,Zerg
Seither,Sheldon Barrow,AU,Mindfreak eSports,,49106,Terran
Coffee,吴奕棽,CN,Invictus Gaming,,20614,Terran
DeParture,현성민,KR,,1995-08-22,12327,Zerg
Billowy,김도경,KR,,1994-08-19,26801,Protoss
TerraN,Thiago Tótola,BR,,,4946,Terran
Flash,이영호,KR,,1992-07-05,71486,Terran
Forte,김기용,KR,,1996-12-26,13372,Terran
MMA,문성원,KR,,1988-10-29,374886,Terran
MyuNgSiK,김명식,KR,,1994-11-05,33381,Protoss
Guru,Szymon Nieciąg,PL,,1994-05-12,17896,Zerg
Jaedong,이제동,KR,,1990-01-09,221753,Zerg
kiyj,,EE,,,1564,Zerg
Bomber,최지성,KR,,1988-01-16,256123,Terran
YB,변영봉,KR,,1994-03-19,10136,Protoss
HateMe,Moritz Pölzl,AT,Platinum Heroes,,3892,Zerg
Losira,황강호,KR,,1992-04-11,102448,Zerg
ziGGy,Szymon Filipek,PL,ROOT Gaming,,6993,Terran
PattyMac,,US,Team Super,,3033,Protoss
YoungYakov,Яков Моисеенко,RU,CSO eSports,2004-04-15,1468,Zerg
HerO,송현덕,KR,,1990-06-20,255663,Protoss
ForJumy,,DE,Berserker eSports,,2078,Protoss
KingKong,유충희,KR,,1990-04-26,23246,Zerg
Raza,Raza Sekha,UK,Genesis Gaming,,8535,Terran
KingCobra,Сергей Кондауров,RU,ROOT Gaming,,3460,Protoss
Probe,Sean Kempen,AU,Legacy Esports,1996-12-13,73427,Protoss
Puzzle,김상준,KR,PREP eSPORTS,1992-10-02,15352,Protoss
SoulSpirit,Alexy Duviler,FR,Alien eSports,,2103,Zerg
TeebuL,Haseeb Ishaq,UK,Genesis Gaming,,10473,Protoss
EnDerr,Caviar Napoleon Marquises-Acampado,PH,Juggernauts,1992-12-02,36492,Zerg
Spear,김현목,KR,Team NV,,7587,Terran
JonSnow,Jarod George,US,PSISTORM Gaming,,48680,Zerg
Soulkey,김민철,KR,,1991-12-10,141760,Zerg
Eiki,Eik Johannes Nysted Grødem,NO,,,9910,Protoss
PenguiN,남윤석,KR,,1996-03-12,3664,Zerg
Chance,정찬우,KR,,,981,Protoss
Moja,Sergej Brenner,DE,,,1349,Terran
Bunny,Patrick Brix,DK,Team Liquid,1992-12-04,86152,Terran
NaTuRal,김국현,KR,,,1614,Terran
Pet,박남규,KR,,1995-10-22,7610,Zerg
Asuna,袁博文,CN,Alpha X,,7793,Protoss
Sacsri,이예훈,KR,,1992-02-18,27842,Zerg
PureLegacy,Cameron Lane,US,InFernales eSports,,2254,Terran
Semper,Alex Dimitriu,CA,,,32031,Terran
eGGz,Sebastián Latorre,CO,InFernales eSports,,10849,Zerg
Journey,서태희,KR,,1992-08-11,9459,Terran
PAPI,Michał Królikowski,PL,Platinum Heroes,,2754,Protoss
InZaNe,André Becker,DE,Senthex,,2652,Terran
MacSed,胡翔,CN,Invictus Gaming,1988-10-04,147238,Protoss
DeMusliM,Benjamin Baker,UK,,1990-01-24,34826,Terran
Adonminus,,IL,PSISTORM Gaming,1995-06-13,2358,Protoss
San,강초원,KR,,1990-05-14,111014,Protoss
DIMAGA,Дмитро Філіпчук,UA,Harbingers,1986-06-03,77094,Zerg
MeomaikA,Trần Hồng Phúc,VN,Juggernauts,,26331,Zerg
Arctur,Алексей Рожнов,RU,,,6715,Terran
arrogfire,Sylvain Joffre,FR,Alpha X,2007-05-24,1802,Protoss
Romson,Remigiusz Liana,PL,,,1592,Protoss
Antis,Nikola Pratte,US,Apprentice Esports,,3007,Zerg
Indy,Igor Kaczmarek,PL,,,4820,Protoss
Sage,우경철,KR,,1990-11-21,16067,Protoss
Jieshi,胡家骏,CN,,1995-11-05,37739,Protoss
Brat_OK,Павел Кузнецов,RU,Team STARCOM,1987-01-03,43898,Terran
First,강현우,KR,,1992-06-11,81888,Protoss
Welmu,Vesa Matti Hovinen,FI,,1993-12-05,62653,Protoss
Nitix,Пейчо Иванов,BG,BSLesports,,2574,Zerg
Rex,雷皓成,TW,Team GP,1993-04-23,32669,Zerg
kiwian,김정훈,KR,,1990-11-26,46256,Terran
Botvinnik,Gabino Luis Lazo,ES,Genesis Gaming,1994-09-22,1726,Terran
Cuddlebear,Maximilian Risdall,US,Alpha X,,6285,Terran
Dayshi,Antoine Stievenart,FR,,1994-08-08,44180,Terran
StarDust,손석희,KR,,1990-05-27,112614,Protoss
piglet,Noah Krensel,AU,OpusV,,5467,Terran
FrisK,Maurice Peter,DE,Genesis Gaming,,440,Protoss
FightingFrog,,SE,Platinum Heroes,,672,Protoss
Kane,Sam Morrissette,CA,,1992-11-16,28684,Zerg
Dandy,박주성,KR,Team GP,,300,Protoss
Blaze,한재운,KR,,1995-05-03,7280,Protoss
Optimus,Vincent Klerks,NL,,1995-08-24,7072,Terran
Beastyqt,Александар Крстић,RS,,1990-12-29,19507,Terran
PSiArc,西村　直紘,JP,,1989-07-18,21497,Terran
BluE,Michał Polewaczyk,PL,,,1400,Protoss
Basset,Сергей Анисимов,RU,3D!Clan,1997-05-15,1308,Zerg
Bioice,Jackson Wroblewski,CA,PSISTORM Gaming,,10326,Zerg
Terminator,하재상,KR,,1992-05-03,6898,Protoss
Rookie,이동연,KR,,,1144,Terran
Rodzyn,Sebastian Leszczyński,PL,Platinum Heroes,,3755,Protoss
